station_name,available_bikes
W 52 St & 11 Ave,5
Franklin St & W Broadway,24
St James Pl & Pearl St,22
Atlantic Ave & Fort Greene Pl,36
W 17 St & 8 Ave,5
Park Ave & St Edwards St,7
Lexington Ave & Classon Ave,13
Barrow St & Hudson St,12
MacDougal St & Prince St,26
Clinton St & Joralemon St,16
Nassau St & Navy St,8
Hudson St & Reade St,36
E 2 St & Avenue C,2
Cleveland Pl & Spring St,23
Warren St & Church St,26
E 40 St & 5 Ave,0
Henry St & Atlantic Ave,6
LaGuardia Pl & W 3 St,25
E 47 St & 2 Ave,32
E 39 St & 3 Ave,5
W 18 St & 6 Ave,29
Broadway & W 49 St,3
E 25 St & 1 Ave,1
Liberty St & Broadway,29
W 16 St & The High Line,7
Columbia Heights & Cranberry St,6
Old Fulton St,32
W 13 St & 7 Ave,6
Spruce St & Nassau St,0
E 48 St & 3 Ave,47
Great Jones St,2
Cadman Plaza E & Tillary St,20
St Marks Pl & 2 Ave,3
E 11 St & 2 Ave,6
Bank St & Washington St,7
Willoughby St & Fleet St,19
DeKalb Ave & S Portland Ave,2
Carlton Ave & Flushing Ave,18
Fulton St & Rockwell Pl,28
Willoughby Ave & Hall St,3
Myrtle Ave & St Edwards St,0
Perry St & Bleecker St,6
Laight St & Hudson St,20
Harrison St & Hudson St,19
Mott St & Prince St,22
MacDougal St & Washington Sq,7
W 13 St & 5 Ave,27
W 11 St & 6 Ave,10
Lispenard St & Broadway,35
DeKalb Ave & Vanderbilt Ave,9
South St & Whitehall St,32
Broad St & Bridge St,31
Johnson St & Gold St,13
Washington Park,1
Maiden Ln & Pearl St,25
Stanton St & Chrystie St,5
Avenue D & E 8 St,5
Broadway & W 36 St,4
Howard St & Centre St,16
Lafayette Ave & Fort Greene Pl,19
Washington Ave & Greene Ave,2
Duane St & Greenwich St,24
Concord St & Bridge St,2
Peck Slip & Front St,24
E 10 St & 5 Ave,21
Grand Army Plaza & Central Park S,45
Kent Ave & S 11 St,0
Greenwich Ave & 8 Ave,9
Broadway & E 14 St,37
Monroe St & Classon Ave,7
Madison St & Montgomery St,4
Lafayette St & E 8 St,21
Pike St & E Broadway,0
Division St & Bowery,25
E 15 St & 3 Ave,16
E 2 St & Avenue B,0
Avenue D & E 3 St,9
Mercer St & Spring St,26
Broadway & Battery Pl,17
E 58 St & 3 Ave,24
Cliff St & Fulton St,4
Canal St & Rutgers St,0
St James Pl & Oliver St,6
Murray St & West St,37
State St & Smith St,30
Norfolk St & Broome St,0
Allen St & Stanton St,2
Washington Ave & Park Ave,14
Cadman Plaza West & Montague St,30
South St & Gouverneur Ln,23
Fulton St & William St,0
E 6 St & Avenue B,2
Fulton St & Broadway,28
Leonard St & Church St,37
Cadman Plaza E & Red Cross Pl,24
Clinton St & Tillary St,30
Lawrence St & Willoughby St,35
DeKalb Ave & Hudson Ave,48
E 19 St & 3 Ave,0
E 11 St & 1 Ave,3
Vesey Pl & River Terrace,27
Watts St & Greenwich St,21
Reade St & Broadway,21
Pike St & Monroe St,1
Cherry St,15
W 20 St & 7 Ave,6
Washington Pl & Broadway,22
Sullivan St & Washington Sq,17
Old Slip & Front St,31
Avenue D & E 12 St,3
Madison St & Clinton St,0
Stanton St & Mangin St,13
Columbia St & Rivington St,5
Clinton Ave & Flushing Ave,7
Monroe St & Bedford Ave,10
W 13 St & 6 Ave,4
Bank St & Hudson St,5
Greenwich St & W Houston St,10
Rivington St & Ridge St,4
Clinton St & Grand St,1
Front St & Maiden Ln,37
S Portland Ave & Hanson Pl,3
Emerson Pl & Myrtle Ave,5
Bayard St & Baxter St,31
Bialystoker Pl & Delancey St,5
E 11 St & Broadway,4
Christopher St & Greenwich St,25
E 47 St & Park Ave,16
William St & Pine St,28
Allen St & Hester St,23
Broadway & W 37 St,6
West Thames St,43
Lafayette Ave & Classon Ave,4
Fulton St & Grand Ave,4
Clinton Ave & Myrtle Ave,3
Carmine St & 6 Ave,21
Washington Pl & 6 Ave,4
Franklin Ave & Myrtle Ave,6
Willoughby Ave & Walworth St,13
John St & William St,29
6 Ave & Canal St,4
W 31 St & 7 Ave,23
W 4 St & 7 Ave S,6
University Pl & E 14 St,31
Greenwich Ave & Charles St,3
Fulton St & Washington Ave,12
E 55 St & 2 Ave,4
Centre St & Worth St,23
Centre St & Chambers St,14
W 26 St & 10 Ave,27
Broadway & Berry St,13
Duffield St & Willoughby St,28
Clark St & Henry St,29
Jay St & Tech Pl,27
E 5 St & Avenue C,6
E 9 St & Avenue C,8
Bond St & Schermerhorn St,25
Lefferts Pl & Franklin Ave,0
Fulton St & Clermont Ave,7
Atlantic Ave & Furman St,3
Lafayette Ave & St James Pl,9
Pitt St & Stanton St,2
Allen St & Rivington St,5
Broadway & E 22 St,8
E 2 St & 2 Ave,2
Washington St & Gansevoort St,15
Hicks St & Montague St,5
Henry St & Poplar St,33
Market St & Cherry St,1
DeKalb Ave & Skillman St,2
Suffolk St & Stanton St,2
E 6 St & Avenue D,2
Forsyth St & Canal St,9
Pearl St & Anchorage Pl,22
Pearl St & Hanover Square,38
Cumberland St & Lafayette Ave,2
Barclay St & Church St,20
Front St & Gold St,17
Carlton Ave & Park Ave,5
Clermont Ave & Lafayette Ave,0
Clermont Ave & Park Ave,0
W 59 St & 10 Ave,3
W 54 St & 9 Ave,1
West St & Chambers St,16
Bus Slip & State St,27
E 3 St & 1 Ave,8
York St & Jay St,21
E 7 St & Avenue A,0
E 13 St & Avenue A,12
9 Ave & W 18 St,20
W 21 St & 6 Ave,40
Hancock St & Bedford Ave,1
Macon St & Nostrand Ave,9
St Marks Pl & 1 Ave,0
E 4 St & 2 Ave,9
E 45 St & 3 Ave,20
E 52 St & 2 Ave,7
W 27 St & 7 Ave,33
Bedford Ave & S 9 St,2
Broadway & W 24 St,30
E 10 St & Avenue A,4
W 24 St & 7 Ave,15
8 Ave & W 52 St,0
W 37 St & 10 Ave,0
W 52 St & 9 Ave,1
W 49 St & 8 Ave,5
W 22 St & 8 Ave,6
E 51 St & 1 Ave,8
1 Ave & E 44 St,35
E 53 St & Madison Ave,1
Broadway & W 58 St,15
11 Ave & W 27 St,10
W 20 St & 11 Ave,33
S 4 St & Wythe Ave,17
E 20 St & 2 Ave,4
W 22 St & 10 Ave,14
Broadway & W 41 St,5
W 25 St & 6 Ave,15
Dean St & 4 Ave,31
Broadway & W 56 St,0
Broadway & W 53 St,15
W 20 St & 8 Ave,3
Grand St & Havemeyer St,3
E 32 St & Park Ave,8
Rivington St & Chrystie St,7
5 Ave & E 29 St,22
E 31 St & 3 Ave,0
W 41 St & 8 Ave,51
11 Ave & W 41 St,6
9 Ave & W 45 St,13
W 53 St & 10 Ave,4
S 3 St & Bedford Ave,11
W 15 St & 7 Ave,8
E 12 St & 3 Ave,8
W 44 St & 5 Ave,34
W 37 St & 5 Ave,4
Broadway & W 29 St,7
E 20 St & FDR Drive,0
W 39 St & 9 Ave,0
8 Ave & W 33 St,22
E 24 St & Park Ave S,24
W 33 St & 7 Ave,30
W 26 St & 8 Ave,3
W 47 St & 10 Ave,9
E 16 St & 5 Ave,40
E 17 St & Broadway,37
Broadway & W 32 St,6
Broadway & W 60 St,15
Broadway & W 51 St,6
FDR Drive & E 35 St,15
Henry St & Grand St,12
E 20 St & Park Ave,19
1 Ave & E 16 St,4
6 Ave & W 33 St,15
E 25 St & 2 Ave,0
W 46 St & 11 Ave,5
9 Ave & W 22 St,13
W 56 St & 10 Ave,1
12 Ave & W 40 St,15
W 43 St & 10 Ave,4
E 47 St & 1 Ave,28
Pershing Square South,2
E 39 St & 2 Ave,7
Pershing Square North,31
W 52 St & 5 Ave,9
E 51 St & Lexington Ave,35
W 38 St & 8 Ave,30
W 43 St & 6 Ave,38
W 34 St & 11 Ave,7
E 33 St & 5 Ave,15
E 33 St & 2 Ave,0
2 Ave & E 31 St,0
W 42 St & 8 Ave,35
11 Ave & W 59 St,3
Forsyth St & Broome St,3
S 5 Pl & S 4 St,16
Broadway & W 39 St,0
Water - Whitehall Plaza,28
1 Ave & E 30 St,0
Lexington Ave & E 24 St,8
Metropolitan Ave & Bedford Ave,28
Lexington Ave & E 29 St,8
E 23 St & 1 Ave,2
E 30 St & Park Ave S,18
Front St & Washington St,29
Sands St & Navy St,14
Wythe Ave & Metropolitan Ave,16
1 Ave & E 18 St,11
Railroad Ave & Kay Ave,5
Central Park S & 6 Ave,38
Little West St & 1 Pl,18
Catherine St & Monroe St,7
Grand St & Greene St,33
E 27 St & 1 Ave,0
W 45 St & 8 Ave,5
E 60 St & York Ave,0
E 55 St & Lexington Ave,11
South End Ave & Liberty St,7
Kent Ave & N 7 St,47
Kingston Ave & Herkimer St,19
Fulton St & Utica Ave,0
Lewis Ave & Decatur St,3
Albany Ave & Fulton St,13
Marcus Garvey Blvd & Macon St,5
Halsey St & Tompkins Ave,2
Putnam Ave & Nostrand Ave,0
Cambridge Pl & Gates Ave,1
Putnam Ave & Throop Ave,0
Lewis Ave & Madison St,0
Marcy Ave & Lafayette Ave,1
Greene Ave & Throop Ave,7
Greene Ave & Nostrand Ave,1
Kosciuszko St & Nostrand Ave,4
Kosciuszko St & Tompkins Ave,3
Lewis Ave & Kosciuszko St,0
Pulaski St & Marcus Garvey Blvd,0
Willoughby Ave & Tompkins Ave,3
Throop Ave & Myrtle Ave,2
Myrtle Ave & Marcy Ave,13
Nostrand Ave & Myrtle Ave,14
Myrtle Ave & Lewis Ave,13
Union Ave & Wallabout St,10
Tompkins Ave & Hopkins St,17
Broadway & Whipple St,19
Humboldt St & Varet St,23
Lorimer St & Broadway,10
McKibbin St & Manhattan Ave,6
Boerum St & Broadway,5
Leonard St & Boerum St,7
Division Ave & Hooper St,6
Montrose Ave & Bushwick Ave,28
Division Ave & Marcy Ave,26
Scholes St & Manhattan Ave,1
Stagg St & Union Ave,1
Broadway & Roebling St,9
S 4 St & Rodney St,0
Graham Ave & Grand St,4
Hope St & Union Ave,5
Bushwick Ave & Powers St,14
Roebling St & N 4 St,2
Graham Ave & Conselyea St,12
Metropolitan Ave & Meeker Ave,2
Union Ave & Jackson St,6
N 8 St & Driggs Ave,17
Frost St & Meeker St,8
Berry St & N 8 St,24
N 6 St & Bedford Ave,18
Graham Ave & Withers St,0
Graham Ave & Herbert St,0
Union Ave & N 12 St,28
Nassau Ave & Newell St,1
N 12 St & Bedford Ave,5
Driggs Ave & Lorimer St,0
N 11 St & Wythe Ave,14
N 15 St & Wythe Ave,4
Driggs Ave & N Henry St,2
Bedford Ave & Nassau Ave,2
Nassau Ave & Russell St,0
Banker St & Meserole Ave,3
Meserole Ave & Manhattan Ave,5
Milton St & Franklin St,22
Greenpoint Ave & Manhattan Ave,15
India St & Manhattan Ave,22
Huron St & Franklin St,25
Franklin St & Dupont St,15
McGuinness Blvd & Eagle St,8
Vernon Blvd & 50 Ave,41
Center Blvd & Borden Ave,16
Jackson Ave & 46 Rd,21
48 Ave & 5 St,4
31 St & Thomson Ave,10
46 Ave & 5 St,4
45 Rd & 11 St,15
44 Dr & Jackson Ave,7
9 St & 44 Rd,26
21 St & 43 Ave,6
Queens Plaza North & Crescent St,8
21 St & Queens Plaza North,0
E 68 St & 3 Ave,2
E 59 St & Madison Ave,24
3 Ave & E 62 St,2
E 75 St & 3 Ave,12
5 Ave & E 63 St,5
5 Ave & E 73 St,1
E 72 St & Park Ave,2
1 Ave & E 78 St,4
1 Ave & E 68 St,14
1 Ave & E 62 St,5
5 Ave & E 78 St,0
E 81 St & Park Ave,0
E 84 St & Park Ave,1
E 81 St & 3 Ave,4
E 85 St & 3 Ave,14
